age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0.4333,0.875,0.0522,0.6,0.8125,0.6667,0.0714,0.2,1.0,,0.0217,0.0,0.404,0.9512,0
0.5556,0.75,0.0561,0.6,0.8125,0.3333,0.2857,0.0,1.0,,0.0,0.0,0.1313,0.9512,0
0.4222,0.5,0.1452,0.7333,0.5625,0.0,0.4286,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.5889,0.5,0.1581,0.0667,0.4375,0.3333,0.4286,0.0,0.5,,0.0,0.0,0.404,0.9512,0
0.3111,0.5,0.2279,0.6,0.8125,0.3333,0.7143,1.0,0.5,,0.0,0.0,0.404,0.122,0
0.4111,0.5,0.1917,0.8,0.875,0.3333,0.2857,1.0,1.0,,0.0,0.0,0.404,0.9512,0
0.5444,0.5,0.1079,0.4,0.3125,0.5,0.5714,0.2,0.5,,0.0,0.0,0.1616,0.561,0
0.5778,0.75,0.1412,0.7333,0.5625,0.3333,0.2857,0.0,1.0,,0.0,0.0,0.4545,0.9512,1
0.3444,0.5,0.0308,0.8,0.875,0.6667,0.7143,0.2,1.0,,0.1408,0.0,0.5051,0.9512,1
0.4667,0.5,0.1074,0.6,0.8125,0.3333,0.2857,0.0,1.0,,0.0518,0.0,0.404,0.9512,1
0.4111,0.5,0.1889,1.0,0.625,0.3333,0.2857,0.0,0.5,,0.0,0.0,0.8081,0.9512,1
0.3333,0.875,0.0952,0.6,0.8125,0.3333,0.7143,0.0,0.25,,0.0,0.0,0.404,0.4634,1
0.2556,0.5,0.0824,0.6,0.8125,0.6667,0.0714,0.6,1.0,,0.0,0.0,0.303,0.9512,0
0.3556,0.5,0.1381,0.4667,0.75,0.6667,0.8571,0.2,0.5,,0.0,0.0,0.5051,0.9512,0
0.4444,0.5,0.082,0.5333,0.6875,0.3333,0.2143,0.0,0.25,,0.0,0.0,0.404,0.0,1
0.3778,0.5,0.1653,0.3333,0.25,0.3333,1.0,0.0,0.0,,0.0,0.0,0.4545,0.6341,0
0.2778,0.75,0.1191,0.7333,0.5625,0.6667,0.3571,0.6,1.0,,0.0,0.0,0.3535,0.9512,0
0.3556,0.5,0.1258,0.7333,0.5625,0.6667,0.5,0.8,1.0,,0.0,0.0,0.404,0.9512,0
0.4222,0.5,0.0195,0.0667,0.4375,0.3333,0.8571,0.0,1.0,,0.0,0.0,0.5051,0.9512,0
0.4778,0.75,0.1968,0.8,0.875,0.0,0.2857,0.8,1.0,,0.0,0.0,0.4545,0.9512,1
0.4444,0.5,0.1303,0.6667,1.0,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.6061,0.9512,1
0.6,0.5,0.2035,0.7333,0.5625,0.8333,0.5714,0.8,0.5,,0.0,0.0,0.202,0.9512,0
0.3889,0.125,0.0518,0.4,0.3125,0.3333,0.3571,0.0,0.5,,0.0,0.0,0.404,0.9512,0
0.4778,0.5,0.0788,0.0667,0.4375,0.3333,1.0,0.0,1.0,,0.0,0.4688,0.404,0.9512,0
0.6556,0.5,0.0734,0.7333,0.5625,0.0,0.9286,0.8,1.0,,0.0,0.0,0.404,0.9512,0
0.6222,0.25,0.1461,0.6,0.8125,0.3333,0.9286,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.2111,0.5,0.1134,0.7333,0.5625,0.6667,0.2143,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.6,0.0,0.1214,1.0,0.625,0.3333,0.0,0.0,0.25,,0.0,0.0,0.6061,0.8537,1
0.4333,0.5,0.2474,0.7333,0.5625,0.0,0.2857,0.2,1.0,,0.0,0.0,0.8081,0.9512,0
0.5444,0.5,0.1302,0.7333,0.5625,0.3333,0.2143,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.2556,0.25,0.1284,0.4667,0.75,0.6667,0.7857,0.2,1.0,,0.0,0.0,0.5253,0.9512,0
0.2222,0.5,0.1792,1.0,0.625,0.6667,0.8571,0.6,0.5,,0.0,0.0,0.4444,0.9512,0
0.5,0.5,0.2606,0.6,0.8125,0.0,0.2857,0.6,1.0,,0.0,0.3232,0.404,0.9512,0
